feature,mean,std,var,min,max,range,avg_logvar,activity
42,-1.0091671,1.5036026,2.2608209,-8.33134,5.079219,13.410559,-6.5476193,1.5036026
49,-0.3898425,1.4907168,2.2222366,-7.217148,6.7899246,14.007072,-6.5204754,1.4907168
32,-0.6976349,1.4703498,2.1619284,-7.007092,5.583924,12.591016,-6.4890146,1.4703498
57,-1.0303055,1.4641178,2.1436408,-7.6765676,4.3645015,12.041069,-6.5040236,1.4641178
29,0.5020957,1.4597306,2.1308136,-6.4286156,6.8804836,13.309099,-6.869494,1.4597306
31,0.52515525,1.4481125,2.09703,-5.696202,7.003119,12.699321,-6.755676,1.4481125
24,-0.06433377,1.4469805,2.0937524,-6.1100764,7.5843024,13.694379,-6.5865383,1.4469805
39,0.04541463,1.4459167,2.0906749,-8.107477,6.5444436,14.65192,-6.4559746,1.4459167
53,-0.5900304,1.4443957,2.086279,-7.184873,6.1903915,13.375265,-6.6656055,1.4443957
38,-0.42895702,1.4437412,2.0843885,-7.7458096,5.6301975,13.376007,-6.621357,1.4437412
13,0.13050996,1.4436531,2.0841343,-6.230853,5.791857,12.02271,-6.725033,1.4436531
37,-0.280838,1.443485,2.0836492,-6.7899017,6.101665,12.891567,-6.754375,1.443485
47,-0.63943684,1.4404758,2.0749707,-7.3685117,6.0714107,13.439922,-6.565931,1.4404758
15,0.6976393,1.4389731,2.0706434,-5.3229623,6.556575,11.879538,-6.5301003,1.4389731
30,0.56937563,1.4384892,2.069251,-5.4910316,6.809489,12.30052,-6.726989,1.4384892
59,0.36362723,1.4375385,2.0665169,-7.4945054,6.413219,13.907724,-6.6782446,1.4375385
2,-0.460547,1.4362987,2.0629542,-7.8820047,5.887285,13.76929,-6.547133,1.4362987
46,-0.7200116,1.4292879,2.042864,-7.648193,5.9876184,13.635811,-6.699524,1.4292879
58,0.5790325,1.4291581,2.0424929,-5.5934362,7.651778,13.245214,-6.6424413,1.4291581
25,0.46554777,1.4288583,2.041636,-5.3896346,6.6394577,12.029093,-6.6120005,1.4288583
11,0.3337595,1.4250952,2.0308964,-5.819846,7.0122037,12.83205,-6.5932283,1.4250952
3,1.3762447,1.423477,2.026287,-4.328905,7.760864,12.089769,-6.4684715,1.423477
1,-0.31475157,1.4198216,2.0158935,-6.9624095,6.520584,13.482994,-6.5826297,1.4198216
54,0.11550011,1.418295,2.0115607,-6.359798,6.289583,12.649382,-6.6538615,1.418295
52,-0.5057608,1.4163933,2.00617,-7.0023956,5.2808104,12.283206,-6.670193,1.4163933
51,-0.7108787,1.4157639,2.0043871,-8.232839,5.166243,13.399082,-6.7690306,1.4157639
56,-0.0877743,1.4155266,2.0037155,-5.454387,5.792948,11.247335,-6.676477,1.4155266
4,0.70474815,1.4132835,1.99737,-5.551266,7.272141,12.823407,-6.7266855,1.4132835
36,-0.4496548,1.4063019,1.977685,-6.986841,5.293096,12.279938,-6.5571427,1.4063019
9,-0.3125327,1.4055669,1.9756184,-6.3902235,6.24362,12.633843,-6.6708174,1.4055669
19,0.01865107,1.4041879,1.9717438,-5.396403,7.238827,12.63523,-6.5345707,1.4041879
6,-0.6562686,1.403333,1.9693433,-6.959446,5.8733063,12.832752,-6.5576415,1.403333
63,-0.09603964,1.4023544,1.9665979,-6.0521383,5.8879905,11.940128,-6.6540017,1.4023544
18,0.0611213,1.4013147,1.9636831,-6.0129385,5.504256,11.517195,-6.554769,1.4013147
27,0.79611623,1.3959191,1.94859,-5.811936,6.8062625,12.618198,-6.6069794,1.3959191
22,-0.47279602,1.3924173,1.9388258,-7.4857216,5.3636394,12.849361,-6.5247326,1.3924173
5,-0.597502,1.3909624,1.9347763,-7.4380903,5.552803,12.990893,-6.572556,1.3909624
61,0.64242804,1.3906864,1.9340085,-5.617007,6.600108,12.217115,-6.720538,1.3906864
48,-0.19663541,1.3890779,1.9295373,-5.738353,6.569975,12.308328,-6.598914,1.3890779
34,-0.26298773,1.3863109,1.9218581,-6.5537944,7.711319,14.265114,-6.624306,1.3863109
28,-0.30648106,1.386306,1.9218444,-6.310663,5.27324,11.583903,-6.5300503,1.386306
16,0.474992,1.3831929,1.9132227,-6.6347756,6.5008,13.135576,-6.549167,1.3831929
7,-0.17415506,1.3810748,1.9073677,-5.9034715,6.3178496,12.221321,-6.565744,1.3810748
41,-0.38058686,1.3808479,1.906741,-7.496801,5.666793,13.163593,-6.5183773,1.3808479
17,0.4402084,1.3777752,1.8982644,-5.3524337,7.123713,12.476147,-6.4831057,1.3777752
43,0.2815567,1.3768669,1.8957626,-5.244858,7.568036,12.812894,-6.7997127,1.3768669
50,-0.11229012,1.372893,1.8848352,-5.48526,5.9320784,11.417338,-6.7549176,1.372893
21,-0.37681824,1.3725953,1.8840178,-6.236617,5.2886696,11.525287,-6.6118784,1.3725953
26,0.52803147,1.3691345,1.8745292,-4.6552887,6.631183,11.286472,-6.667365,1.3691345
40,0.42885926,1.3675491,1.8701905,-7.2352533,7.1505795,14.385833,-6.5861955,1.3675491
35,0.6525634,1.3658404,1.8655201,-5.654825,6.7414036,12.396229,-6.521968,1.3658404
0,0.4978098,1.3633211,1.8586445,-5.67963,6.378751,12.05838,-6.771936,1.3633211
10,0.19564927,1.360791,1.8517522,-6.526674,6.4102917,12.936966,-6.5933642,1.360791
20,0.80032057,1.3607095,1.8515306,-4.883344,7.263038,12.146382,-6.8773775,1.3607095
60,-0.66667086,1.3550857,1.8362573,-6.211817,5.5409765,11.752793,-6.54679,1.3550857
45,0.21988836,1.3540227,1.8333776,-5.4468384,6.826887,12.2737255,-6.6778326,1.3540227
33,0.5029318,1.3520063,1.827921,-5.504827,7.3298225,12.83465,-6.737131,1.3520063
23,-0.25052592,1.3424925,1.8022861,-6.4251056,6.5780244,13.00313,-6.811099,1.3424925
12,-0.93501043,1.3401726,1.7960627,-7.4437003,5.389862,12.833563,-6.552344,1.3401726
8,0.16099267,1.3185287,1.7385179,-5.0013804,6.448114,11.449494,-6.678141,1.3185287
44,0.5753623,1.3140529,1.7267351,-4.741712,7.433474,12.175186,-6.8356023,1.3140529
62,-0.17430116,1.3140107,1.7266244,-6.560745,5.8793163,12.440062,-6.524011,1.3140107
14,-0.1398095,1.3139751,1.7265306,-6.6091194,5.8765907,12.48571,-6.665259,1.3139751
55,0.16210899,1.304788,1.7024716,-6.177604,5.4400916,11.617696,-6.7028713,1.304788
