dimension,avg_change,max_change,is_monotonic,monotonic_leads,plausibility_rate,n_plausible,n_total
1,0.30301723,0.4656646,True,2,1.0,7,7
2,0.2870163,0.46468768,True,5,1.0,7,7
3,0.2838904,0.46385115,True,2,1.0,7,7
4,0.28657344,0.4391854,True,9,1.0,7,7
5,0.30545625,0.49241945,True,4,1.0,7,7
6,0.29573566,0.45186746,True,1,1.0,7,7
7,0.28936616,0.43083906,True,5,1.0,7,7
8,0.29975003,0.4600647,True,8,1.0,7,7
9,0.2995342,0.4797971,True,3,1.0,7,7
10,0.29869464,0.49849522,True,3,1.0,7,7
11,0.3253014,0.53347915,True,7,1.0,7,7
12,0.28320286,0.44514635,True,2,1.0,7,7
13,0.29158393,0.47128344,True,8,1.0,7,7
14,0.2834053,0.43685442,False,0,1.0,7,7
15,0.2933904,0.4418523,True,4,1.0,7,7
16,0.26887146,0.40903753,False,0,1.0,7,7
17,0.3061481,0.497906,True,9,1.0,7,7
18,0.28712454,0.43505234,True,3,1.0,7,7
19,0.30851138,0.5004762,True,11,1.0,7,7
20,0.2874215,0.45874786,True,4,1.0,7,7
21,0.3058572,0.4927357,True,5,1.0,7,7
22,0.27180812,0.43207553,True,2,1.0,7,7
23,0.2968563,0.5107074,True,4,1.0,7,7
24,0.30902436,0.5075135,True,11,1.0,7,7
25,0.28938627,0.44800478,True,2,1.0,7,7
26,0.27714694,0.43275666,True,4,1.0,7,7
27,0.31002143,0.4696849,True,5,1.0,7,7
28,0.2966789,0.48162666,True,8,1.0,7,7
29,0.28734758,0.45588875,True,3,1.0,7,7
30,0.30893606,0.47928187,True,2,1.0,7,7
31,0.29735127,0.47771522,True,9,1.0,7,7
32,0.31190786,0.50314516,True,10,1.0,7,7
33,0.30247822,0.49926656,False,0,1.0,7,7
34,0.26822266,0.40924487,False,0,1.0,7,7
35,0.30272537,0.45396087,True,4,1.0,7,7
36,0.30613032,0.45929292,True,4,1.0,7,7
37,0.3013467,0.4599138,True,1,1.0,7,7
38,0.28481853,0.44196025,True,5,1.0,7,7
39,0.31015313,0.4662889,True,3,1.0,7,7
40,0.27621838,0.42879215,True,1,1.0,7,7
41,0.30566764,0.46929023,True,11,1.0,7,7
42,0.28967988,0.45630327,True,10,1.0,7,7
43,0.2831513,0.46208808,True,7,0.8571428571428571,6,7
44,0.31984913,0.560383,True,10,1.0,7,7
45,0.3088117,0.46944547,True,1,1.0,7,7
46,0.28792837,0.4631317,True,3,1.0,7,7
47,0.30107847,0.4822396,True,3,1.0,7,7
48,0.2809492,0.4283639,True,7,1.0,7,7
49,0.28437707,0.4391064,True,8,1.0,7,7
50,0.28821126,0.43222994,True,2,1.0,7,7
51,0.2963788,0.54509246,True,10,1.0,7,7
52,0.30135956,0.48484913,True,8,1.0,7,7
53,0.3112458,0.4951026,True,7,1.0,7,7
54,0.29413775,0.46120906,True,2,1.0,7,7
55,0.3021335,0.5018572,True,12,1.0,7,7
56,0.30175543,0.5018313,True,4,1.0,7,7
57,0.2883935,0.4394622,True,2,1.0,7,7
58,0.2940022,0.48203564,True,8,1.0,7,7
59,0.28828907,0.43990833,True,8,1.0,7,7
60,0.27998853,0.48183307,True,9,1.0,7,7
61,0.29986957,0.46481618,True,6,1.0,7,7
62,0.31670633,0.5360709,True,11,1.0,7,7
63,0.29568627,0.46526772,True,2,1.0,7,7
64,0.29269335,0.4551086,True,5,1.0,7,7
